username,public_repos,public_gists,followers,following,created_at,updated_at,hireable,company,blog,location,type,site_admin
Snailclimb,14,0,10931,123,2017-07-04T03:55:47Z,2026-06-03T00:50:18Z,,,https://javaguide.cn/,"Wuhan, Hubei",User,False
airbnb,203,0,5622,0,2011-03-30T01:29:47Z,2025-06-27T02:18:58Z,,,https://airbnb.tech,San Francisco,Organization,False
vercel,234,0,28916,0,2015-10-05T19:40:30Z,2026-04-28T17:04:11Z,,,https://vercel.com,,Organization,False
Chalarangelo,91,42,3296,13,2014-07-27T14:40:23Z,2026-05-24T09:59:22Z,,Skroutz S.A.,https://www.chalarangelo.me/,"Athens, Greece",User,False
nodejs,231,0,16032,0,2014-11-25T17:10:50Z,2026-06-06T11:39:03Z,,,https://nodejs.org,,Organization,False
mrdoob,58,73,25210,200,2009-06-19T16:54:00Z,2026-06-08T08:32:12Z,,,https://mrdoob.com,,User,False
axios,5,0,2383,0,2017-09-28T19:14:51Z,2026-04-04T18:45:21Z,,,https://axios.rest,,Organization,False
mui,20,0,4840,0,2017-11-14T15:51:41Z,2026-06-03T17:21:59Z,,,https://mui.com,Global,Organization,False
ryanmcdermott,51,5,4512,3,2013-07-29T16:38:31Z,2025-08-24T16:40:20Z,,@google ,ryanmcdermott.me,Bay Area,User,False
louislam,57,7,3484,12,2012-01-17T14:09:09Z,2026-06-10T08:37:12Z,True,,,Hong Kong,User,False
sveltejs,83,0,5025,0,2016-11-20T18:03:26Z,2025-09-12T08:14:16Z,,,https://svelte.dev,pkg.devDependencies,Organization,False
thedotmack,120,15,1694,122,2011-03-22T14:18:35Z,2026-05-04T22:55:47Z,,,,,User,False
anuraghazra,139,29,14844,125,2018-01-12T14:48:56Z,2026-06-10T11:48:39Z,,@razorpay,https://anuraghazra.dev,"India, West Bengal",User,False
FortAwesome,47,0,1480,0,2012-03-06T05:21:04Z,2024-03-21T17:50:56Z,,,https://fontawesome.com,United States of America,Organization,False
typicode,77,0,10197,0,2013-09-20T13:43:02Z,2026-03-26T07:21:43Z,True,,,,User,False
JuliusBrussee,49,0,1797,6,2022-04-21T20:06:45Z,2026-04-20T11:49:43Z,,,juliusbrussee.com,Netherlands,User,False
hakimel,31,19,12742,28,2011-02-21T07:33:44Z,2026-05-02T05:06:16Z,,Slides.com,https://hakim.se,Sweden,User,False
juliangarnier,20,0,5421,7,2011-12-16T20:40:13Z,2026-04-29T19:46:15Z,,https://animejs.com,https://juliangarnier.com/,Paris,User,False
expressjs,49,0,2570,0,2013-10-10T18:05:56Z,2026-06-13T11:41:11Z,,,https://expressjs.com/,,Organization,False
chartjs,20,0,872,0,2014-12-29T19:20:21Z,2020-11-15T16:17:23Z,,,http://www.chartjs.org/,,Organization,False
leonardomso,68,4,3196,306,2014-06-30T19:39:01Z,2026-06-12T16:03:07Z,True,,http://leonardomso.com/,"Valencia, Spain",User,False
webpack,86,0,1298,0,2012-08-06T20:40:38Z,2023-02-09T12:18:55Z,,,https://webpack.js.org,,Organization,False
gorhill,28,8,6676,0,2011-01-26T23:09:09Z,2026-05-29T14:59:54Z,,,,Canada / Québec,User,False
gsd-build,8,0,1111,0,2026-02-09T17:59:31Z,2026-05-23T22:51:51Z,,,,,Organization,False
resume,1,0,80,0,2011-02-06T00:02:48Z,2022-05-09T20:48:38Z,,,http://resume.github.com,,Organization,False
jgraph,32,0,4880,0,2012-05-23T09:51:35Z,2025-09-19T20:51:39Z,,,http://www.drawio.com,United Kingdom,Organization,False
Mintplex-Labs,38,0,1622,0,2023-05-23T16:32:22Z,2026-03-13T20:03:34Z,,,https://mintplexlabs.com,United States of America,Organization,False
lodash,5,0,350,0,2012-10-15T15:56:25Z,2026-05-15T13:16:47Z,,,https://lodash.com/,,Organization,False
atom,255,0,3268,0,2011-09-29T07:56:58Z,2023-06-22T17:12:47Z,,,http://atom.io,"San Francisco, CA",Organization,False
adam-p,66,14,1671,2,2010-10-03T21:25:48Z,2026-05-20T14:52:08Z,,"Psiphon Inc., Proven Security Solutions Inc.",https://adam-p.ca,"Toronto, Canada",User,False
jquery,65,0,1236,0,2009-04-03T15:18:52Z,2026-05-24T11:28:58Z,,,https://jquery.com,,Organization,False
angular,214,0,8641,0,2009-10-13T22:16:19Z,2025-06-28T19:58:19Z,,,https://angular.dev,United States of America,Organization,False
h5bp,28,0,941,0,2011-10-18T21:02:57Z,2025-02-10T11:49:35Z,,,https://h5bp.org,,Organization,False
scutan90,40,0,2560,1,2017-09-11T08:30:48Z,2022-04-09T02:58:01Z,,,,,User,False
gatsbyjs,103,0,1387,0,2015-05-21T22:42:00Z,2024-12-16T09:02:31Z,,,https://www.gatsbyjs.com/,,Organization,False
azl397985856,151,33,4680,74,2015-05-17T03:29:38Z,2026-05-28T12:12:28Z,True,secret,https://lucifer.ren/blog,China,User,False
TryGhost,151,0,1692,0,2012-08-19T13:28:58Z,2025-06-30T19:46:11Z,,,https://ghost.org,,Organization,False
santifer,21,0,2667,4,2026-01-23T18:25:51Z,2026-06-12T06:34:31Z,True,@Zinkee-Engineering ,https://santifer.io,"Seville, Spain",User,False
mozilla,2553,0,10558,0,2009-09-26T08:22:18Z,2026-04-06T02:38:43Z,,,https://wiki.mozilla.org/Github,"Mountain View, California",Organization,False
prettier,45,0,981,0,2017-02-16T14:37:13Z,2026-06-08T14:56:24Z,,,https://prettier.io,,Organization,False
agalwood,39,2,1525,38,2011-09-07T06:50:08Z,2026-06-03T11:37:19Z,,AGALWOOD,https://agalwood.net/,,User,False
chinese-poetry,7,0,657,0,2017-08-06T04:32:21Z,2026-06-08T15:49:12Z,,,https://awesome-poetry.top,"Shanghai, China",Organization,False
Semantic-Org,81,0,239,0,2013-10-28T17:02:43Z,2016-10-05T22:23:49Z,,,http://www.semantic-ui.com,New York,Organization,False
poteto,86,230,7278,11,2012-01-30T07:35:52Z,2026-06-12T01:12:53Z,,@cursor,no.lol,socal,User,False
NARKOZ,97,13,5327,12,2010-04-26T19:07:39Z,2026-06-10T15:06:26Z,True,,,"Kyiv, Ukraine",User,False
bmad-code-org,13,0,747,0,2025-08-01T13:48:13Z,2025-08-01T13:58:30Z,,,,,Organization,False
iamkun,3,0,1982,11,2016-03-06T02:15:10Z,2026-05-12T11:38:37Z,,@ElemeFE ,,"Shanghai, China",User,False
algorithm-visualizer,10,0,588,0,2018-04-18T06:19:04Z,2025-05-29T12:52:55Z,,,https://algorithm-visualizer.org/,,Organization,False
bigskysoftware,30,0,1791,0,2019-03-21T14:03:29Z,2026-06-02T14:53:20Z,,,https://bigsky.software,high up in the mountains,Organization,False
moment,7,0,208,0,2013-04-11T19:06:49Z,2020-04-03T18:16:10Z,,,http://momentjs.com,,Organization,False
serverless,71,0,850,0,2015-08-11T05:02:02Z,2026-06-02T00:42:39Z,,,https://serverless.com,United States of America,Organization,False
LeCoupa,21,46,2790,187,2012-04-19T09:37:07Z,2026-06-04T10:26:01Z,,@TheCompaniesAPI,https://www.thecompaniesapi.com/,"Barcelona, Spain.",User,False
google,2879,0,74011,0,2012-01-18T01:30:18Z,2025-06-28T19:58:20Z,,,https://opensource.google/,United States of America,Organization,False
Leaflet,16,0,856,0,2012-11-21T14:17:37Z,2026-05-27T11:39:59Z,,,http://leafletjs.com,,Organization,False
usebruno,31,0,557,0,2022-09-27T20:50:24Z,2025-12-22T11:15:25Z,,,https://www.usebruno.com/,,Organization,False
GitSquared,22,14,2154,183,2016-12-10T17:39:02Z,2026-05-24T22:34:01Z,,@carbonfact,https://gaby.dev,"Paris, France",User,False
meteor,230,0,332,0,2011-05-15T18:34:06Z,2026-03-30T19:17:24Z,,,https://meteor.com/,Canada,Organization,False
sudheerj,71,0,9142,0,2012-12-26T13:50:38Z,2026-05-28T11:38:29Z,True,,https://sudheerjonna.com,,User,False
parcel-bundler,13,0,1723,0,2017-10-08T05:40:19Z,2026-05-24T12:36:09Z,,,https://parceljs.org,,Organization,False
NaiboWang,37,0,1548,23,2017-07-19T09:20:06Z,2026-05-22T13:55:52Z,,Zhejiang University,https://naibo.wang,"Ningbo, Zhejiang Province",User,False
Unitech,195,309,1402,432,2011-04-28T20:38:41Z,2026-02-19T13:21:05Z,,@keymetrics ,https://pm2.io,Paris,User,False
zen-browser,17,0,10447,0,2024-03-28T00:04:32Z,2026-02-27T11:09:23Z,,,https://zen-browser.app,,Organization,False
asgeirtj,31,11,1307,4,2017-04-13T19:48:33Z,2026-05-25T01:46:57Z,True,,,Iceland,User,False
nolimits4web,26,39,4391,1,2011-08-23T17:45:14Z,2026-05-15T03:11:12Z,True,,https://nolimits4web.com,USA,User,False
yarnpkg,24,0,900,0,2016-09-16T21:24:31Z,2025-10-09T09:18:19Z,,,https://yarnpkg.com,,Organization,False
nwjs,14,0,148,0,2014-12-13T23:07:30Z,2026-06-10T12:04:33Z,,,https://nwjs.io,,Organization,False
DavidHDev,15,0,2773,55,2019-03-16T23:11:23Z,2026-05-05T06:48:39Z,True,,www.davidhaz.com,Cluj-Napoca,User,False
